,song_artist
231,We Are the World - USA for Africa
232,Lulu - To Sir With Love
233,Need You Now - Lady Antebellum
234,Locked Out of Heaven - Bruno Mars
235,Cathy's Clown - The Everly Brothers
236,John Mellencamp - Jack & Diane
237,Jump - Van Halen
238,Hold on - Wilson Phillips
239,Lucid Dreams - Juice WRLD
240,Bridge Over Troubled Water - Simon and Garfunkel
241,Knock Three Times - Dawn
242,Mr. Blue - The Fleetwoods
243,I Wanna Sex You Up (Color Me Badd)
244,Love the Way You Lie - Eminem Ft. Rihanna
245,One More Try - Timmy T
246,Lonely Boy - Paul Anka
247,Thinking Out Loud - Ed Sheeran
248,On Bended Knee - Boyz II Men
249,Islands in the Stream - Kenny Rogers & Dolly Parton
250,Sorry - Justin Bieber
251,Bobby Goldsboro - Honey
252,Coming Up (Live at Glasgow) - Paul McCartney
253,I'm Sorry/Calypso - John Denver
254,You're Makin' Me High/Let It Flow - Toni Braxton
255,Peppermint Twist - Joey Dee & the Starliters
256,California Gurls - Katy Perry Ft. Snoop Dogg
257,Arthur's Theme (Best That You Can Do) - Christopher Cross
258,Don't Go Breaking My Heart Elton John & Kiki Dee
259,Kiss and Say Goodbye - The Manhattans
260,Beyonce Featuring Jay-Z - Crazy in Love
261,*It's Too Late - Carole King
262,Broken Wings - Mr. Mister
263,From a Distance - Bette Midler
264,Taio Cruz - Dynamite
265,Alone - Heart
266,(They Long to Be) Close to You - Carpenters
267,Bobby Vinton - Roses Are Red
268,Can't Fight This Feeling - REO Speedwagon
269,Hollaback Girl - Gwen Stefani
270,Love Will Keep Us Together (Captain & Tenille)
271,*Stagger Lee - Lloyd Price
272,Poison - Every Rose Has Its Thorn
273,The Streak - Ray Stevens
274,Fantasy - Mariah Carey
275,I Wanna Dance With Somebody (Who Loves Me) - Whitney Houston
276,I Can't Go for That (No Can Do) - Hall & Oates
277,Disco Lady - Johnnie Taylor
278,Bennie and the Jets - Elton John
279,Poker Face - Lady Gaga
280,Love Rollercoaster - Ohio Players
281,"Señorita - Shawn Mendes, Camila Cabello"
282,Livin' on a Prayer (Bon Jovi)
283,Running Bear - Johnny Preston
284,Money for Nothing - Dire Straits
285,If You Leave Me Now - Chicago
286,I Think I Love You - The Partridge Family
287,Unbelievable - EMF
288,People Got to Be Free - The Rascals
289,On My Own - Patti Labelle & Michael McDonald
290,The First Time - Surface
291,"Hey, Soul Sister - Train"
292,Beat It - Michael Jackson
293,(Love Is) Thicker Than Water - Andy Gibb
294,Crazy for You - Madonna
295,Wonderland by Night - Bert Kaempfert
296,Take a Bow - Madonna
297,Love Child - Diana Ross & the Supremes
298,Can't Nobody Hold Me Down - Puff Daddy
299,Kryptonite - 3 Doors Down
300,She Loves You - The Beatles
301,What's Love Got to Do With It - Tina Turner
302,Hello - Adele
303,Stuck on You - Elvis Presley
304,The Three Bells - The Browns
305,"Bad, Bad Leroy Brown - Jim Croce"
306,One of These Nights - Eagles
307,Rock With You - Michael Jackson
308,More Than Words - Extreme
309,Midnight Train to Georgia - Gladys Knight & the Pips
310,In the Year 2525 - Zager and Evans
311,Everyday People - Sly & the Family Stone
312,Escapade - Janet Jackson
313,Separate Lives - Phil Collins & Marilyn Martin
314,I Want to Know What Love Is - Foreigner
315,It's Still Rock and Roll to Me - Billy Joel
316,Reunited - Peaches & Herb
317,No Diggity - Blackstreet
318,Chicago - Look Away
319,It's Only Make Believe
320,Work - Rihanna Feat. Drake
321,Promiscuous - Nelly Furtado Ft. Timbaland
322,Grenade ~ Bruno Mars
323,Tommy James & the Shondells - Crimson and Clover
324,The Monkees - Daydream Believer
325,Footloose - Kenny Loggins
326,Against All Odds (Take a Look at Me Now) - Phil Collins
327,Three Times a Lady - The Commodores
328,"I Like It - Cardi B Ft. J Balvin, Bad Bunny"
329,"""That's the Way (I Like It)"" - K.C. & the Sunshine Band"
330,I Like the Way (The Kissing Game) - Hi-Five
331,Poison - Bell Biv Devoe
332,I Knew I Loved You - Savage Garden
333,I'd Really Love to See You Tonight - England Dan & John Ford Coley
334,Steve Winwood - Roll With It
335,Still - The Commodores
336,Ode to Billie Joe - Bobbie Gentry
337,Player - Baby Come Back
338,Straight Up - Paula Abdul
339,Empire State of Mind - Jay-Z
340,The Beatles-Get Back
341,Wake Me Up - Avicii
342,Half-Breed - Cher
343,The New Vaudeville Band - Winchester Cathedral
344,My Sweet Lord - George Harrison
345,UB40 - (I Can't Help) Falling in Love With You
346,Don't Let Me Down - The Chainsmokers Featuring Daya
347,Havana - Camila Cabello
348,Emotions-Mariah Carey (1991)
349,OMG - Usher
350,Wow. - Post Malone
351,Lean Back - Terror Squad
352,YMCA - Village People
353,With Arms Wide Open - Creed
354,Anita Ward - Ring My Bell
355,"""Love Hangover"" - Diana Ross"
356,Since U Been Gone - Kelly Clarkson
357,Quit Playing Games With My Heart - Backstreet Boys
358,No Scrubs - TLC
359,Everybody Wants to Rule the World - Tears for Fears
360,(I Can't Get No) Satisfaction - The Rolling Stones
361,Limbo Rock - Chubby Checker
362,Dreamlover - Mariah Carey
363,Brother Louie-Stories
364,Drop It Like It's Hot - Snoop Dogg
365,Opposites Attract - Paula Abdul
366,Viva La Vida - Coldplay
367,Iggy Azalea - Fancy
368,We Didn't Start the Fire - Billy Joel
369,Sucker - Jonas Brothers
370,Can't Feel My Face - The Weeknd
